"corpus","ukwac"
"subcorpus","-"
"concordance size","20642"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"casi.org.uk",". Agroecology"," uses","  biodiversity"
"sanger.ac.uk","(Melkin? )"," uses","  saphat  with"
"ariadne.ac.uk","a system that"," uses","  computer"
"eduserv.org.uk",". The field"," uses","  coolers  of a"
"centrica.co.uk","still"," uses","  guilders  ("
"ears.dmu.ac.uk","training"," uses","  Argonout  ? as"
"burnyourbonus.co.uk","name cache"," uses","  device  and"
"capita.co.uk","exhibition"," uses","  examples  from"
"dailymail.co.uk","Unix, since it"," uses","  fcntl  . fcntl("
"manchestereveningnews.co.uk","assessment"," uses","  decision"
"bized.ac.uk","system also"," uses","  frames  ."
"capita.co.uk","a modern rsync"," uses","  ssh  for its"
"skuds.co.uk","initiative"," uses","  swipe  card"
"cpgb.org.uk","Synopsis:"," Uses","  examples  from"
"rhs.org.uk","from above. It"," uses","  colors  ,"
"patent.gov.uk","healthy. BMI"," uses","  weight  and"
"big-brother.me.uk",", that she"," uses","  everything  as"
"york.ac.uk","money. Gates"," uses","  money"
"ioe.ac.uk","population"," uses","  nets  , the only"
"manchestereveningnews.co.uk",". This paper"," uses","  findings  from"
"ysbl.york.ac.uk","Microsoft, it"," uses","  software"
"sitcom.co.uk","bridge, but it"," uses","  oil  instead of"
"poetrysociety.org.uk","nerd and"," uses","  samples  a lot,"
"projects.ex.ac.uk","project that"," uses","  carbon"
"headheritage.co.uk","schema which"," uses","  colour  to"
"cf.ac.uk","the same bin,"," uses","  lots  of"
"dca.gov.uk","study, which"," uses","  teachers  to"
"painsupport.co.uk","play settings"," uses","  quality"
"myweb.lsbu.ac.uk","land"," uses","  case  study"
"poole.gov.uk","Lords '' report"," uses","  data  from the"
"jncc.gov.uk","the secondary"," uses","  service  and"
"otherlandtoys.co.uk","An attacker"," uses","  night  , bad"
"lse.ac.uk","in Staines,"," uses","  painting  and"
"irr.org.uk","matter as it"," uses","  pictures"
"dolphinmusic.co.uk","Trusts, which"," uses","  landfill  tax"
"futuremovies.co.uk","standards. It"," uses","  data  from DfES"
"phgu.org.uk","house. the dvd"," uses","  component"
"jr2.ox.ac.uk","speaker"," uses","  echo  and noise"
"netdoctor.co.uk",", but"," uses","  diagrams  to"
"acegamez.co.uk","site"," uses","  text  ,"
"starlink.rl.ac.uk","FormView that"," uses","  templates  to"
"futurelab.org.uk",". Each submenu"," uses","  elements  of"
"eatwell.gov.uk","than a drug. It"," uses","  genes  as the"
"inminds.co.uk",". Our Lord"," uses","  trials  and"
"transglobal-aerospace.co.uk","the fund"," uses","  investors  ''"
"presentationhelper.co.uk","is omitted,"," uses","  $_  . You should"
"fortunecity.co.uk","When an artist"," uses","  ''text  '' its"
"durham21.co.uk","someone who"," uses","  violence  and"
"enm.bris.ac.uk",", for which he"," uses","  diaxvrÛzv  ,"
"hmrc.gov.uk","which the AFSO"," uses","  grid"
"hmrc.gov.uk","point and"," uses","  impact  fuzes"
"casi.org.uk",". Xdm"," uses","  $HOME/  ."
"brianmac.demon.co.uk","Explorer"," uses","  security"
"untoldlondon.org.uk","game, but who"," uses","  applications"
"lse.ac.uk","(SIAC), which"," uses","  evidence  -"
"chat.dailymail.co.uk","programme"," uses","  design  to give"
"burnyourbonus.co.uk","characters,"," uses","  geology  ,"
